"VAR","VIF","Type"
"distmarket",1.91166069900984,"costs"
"distriver",1.12267121742578,"environment"
"distroad",1.41701681584701,"environment"
"DPFpx",4.35719822376768,"environment"
"edgedist",2.3971832301272,"environment"
"edgels",1.91499557922325,"environment"
"elevation",1.42849250612256,"environment"
"meanprecips",1.44446175592537,"environment"
"meantemps",1.39699376517474,"environment"
"property",1.41640488320875,"costs"
"SFagels",2.00851643679979,"environment"
"SFpx",2.21368671641079,"environment"
"TFpx",8.06225681212228,"environment"
"UPFls",7.36071275552148,"environment"
"MFpx",NA,"environment"
"TSDls",999,"environment"
"UPFpx",NA,"environment"
"TSDpx",NA,"environment"
"SFls",NA,"environment"
"SFagepx",NA,"environment"
"DPFls",NA,"environment"
"edgepx",NA,"environment"
